Search,Type,X2018.04.08,X2018.04.15,X2018.04.22,X2018.04.29,X2018.05.06,X2018.05.13,X2018.05.20,X2018.05.27,X2018.06.03,X2018.06.10,X2018.06.17,X2018.06.24,X2018.07.01,X2018.07.08,X2018.07.15,X2018.07.22,X2018.07.29,X2018.08.05,X2018.08.12,X2018.08.19,X2018.08.26,X2018.09.02,X2018.09.09,X2018.09.16,X2018.09.23,X2018.09.30,X2018.10.07,X2018.10.14,X2018.10.21,X2018.10.28,X2018.11.04,X2018.11.11,X2018.11.18,X2018.11.25,X2018.12.02,X2018.12.09,X2018.12.16,X2018.12.23,X2018.12.30,X2019.01.06,X2019.01.13,X2019.01.20,X2019.01.27,X2019.02.03,X2019.02.10,X2019.02.17,X2019.02.24,X2019.03.03,X2019.03.10,X2019.03.17,X2019.03.24,X2019.03.31
Elvis Costello,Musician,24,18,18,18,16,20,17,20,19,19,25,26,100,54,24,28,29,26,23,34,28,21,30,37,30,34,42,35,31,39,61,39,35,43,26,23,19,19,21,17,19,23,19,23,17,21,13,22,20,31,22,4
Hall & Oates,Musician,62,31,49,85,56,73,73,61,89,100,87,73,59,53,68,66,56,66,38,16,37,23,29,25,34,36,34,44,29,41,35,36,26,28,31,16,42,36,34,25,28,40,26,43,49,60,28,39,33,56,40,31
Kraftwerk,Musician,48,56,68,49,64,72,42,62,63,53,49,48,62,57,43,80,56,58,70,50,68,55,52,51,48,49,100,56,47,38,43,66,100,79,50,69,50,66,61,52,65,51,55,42,60,52,50,50,52,48,49,55
Queen,Musician,56,56,62,58,61,94,100,73,67,68,66,68,71,79,79,68,70,69,72,64,60,63,58,57,54,55,60,61,60,68,75,71,69,63,69,65,69,79,88,75,66,68,67,64,72,79,93,77,71,80,67,66
Earth Wind & Fire,Musician,70,100,50,79,41,77,60,58,54,75,56,60,62,57,52,87,70,79,76,82,84,51,44,100,50,55,68,42,48,32,53,48,45,52,53,61,51,59,47,44,52,63,61,87,82,74,82,63,82,59,70,65
The Eagles,Musician,27,28,30,22,20,21,22,20,30,25,22,23,20,19,23,27,21,34,29,36,28,77,31,46,43,37,59,28,36,38,25,44,35,30,42,46,51,60,69,100,90,23,19,24,16,16,17,18,22,17,17,36
Van Halen,Musician,70,72,74,71,84,73,82,86,73,77,97,78,89,75,83,72,82,74,70,75,81,75,75,64,65,64,71,71,65,62,56,54,69,58,57,65,64,99,88,72,89,81,80,75,81,80,93,88,79,89,100,76
AC/DC,Musician,54,57,47,60,63,72,69,63,62,84,64,52,68,62,62,55,60,78,59,64,62,68,52,46,67,60,58,59,62,51,51,60,85,73,65,74,61,63,70,61,60,56,62,55,64,65,52,66,59,61,62,100
KISS,Musician,77,71,69,70,70,76,73,72,73,76,74,76,82,77,77,76,74,72,72,70,66,66,66,85,71,69,67,69,73,100,74,71,75,76,78,76,82,87,87,73,75,74,74,93,85,82,75,73,71,74,78,77
Blondie,Musician,86,92,79,100,83,70,80,79,83,84,82,76,88,79,84,96,94,94,90,87,82,81,75,84,70,66,70,75,68,68,67,83,71,65,67,72,71,71,76,85,71,87,93,85,81,81,77,72,79,72,77,91
Sex Pistols,Musician,58,41,78,63,52,62,60,51,71,57,45,51,57,58,61,52,47,37,46,53,58,45,51,53,44,48,53,45,65,58,59,60,72,72,58,57,59,57,59,51,50,50,55,52,66,60,65,77,80,70,74,100
Talking Heads,Musician,91,100,85,91,82,92,77,95,99,93,84,76,67,84,91,96,90,84,80,90,93,69,79,89,85,84,68,79,63,70,59,72,70,66,61,71,65,77,66,74,74,71,72,79,74,79,65,67,66,78,67,75
Iron Maiden,Musician,32,26,30,29,26,27,30,29,29,27,26,27,25,27,26,26,27,28,27,25,24,23,28,25,26,23,25,26,28,26,49,100,56,42,39,33,35,34,33,34,27,30,29,30,33,32,38,34,31,33,37,36
The Clash,Musician,58,55,63,59,54,48,49,51,44,44,61,53,62,55,60,49,47,50,51,51,44,42,49,50,56,49,51,55,56,64,56,44,57,53,61,62,63,57,56,76,60,66,65,83,100,53,64,67,57,68,67,72
Prince,Musician,23,31,42,26,31,100,93,30,32,27,23,23,23,25,23,22,21,21,21,21,21,20,20,24,23,20,23,29,24,22,20,23,22,22,23,21,20,23,21,19,23,22,21,20,21,23,22,25,21,20,20,22
U2,Musician,50,49,50,97,95,94,100,72,67,94,93,86,62,40,43,42,44,39,34,33,33,44,36,34,31,35,34,32,31,33,34,39,35,33,34,32,34,36,38,38,34,34,32,35,34,35,33,35,35,36,35,34
The Police,Musician,87,86,92,85,89,96,90,80,80,77,73,86,83,80,86,82,83,83,81,75,76,83,86,86,88,89,82,83,89,88,80,82,72,82,84,85,79,67,73,85,82,84,100,87,87,89,88,86,84,89,86,83
Whitney Houston,Musician,16,16,15,15,15,24,38,35,20,16,17,25,46,44,28,25,23,30,28,19,22,100,51,24,20,18,18,18,17,16,16,16,18,20,18,18,19,23,18,15,15,16,15,20,27,21,19,15,14,14,15,15
Def Leppard,Musician,43,45,46,49,52,49,80,80,82,79,54,59,100,99,87,92,60,69,86,81,72,62,38,50,60,39,43,31,28,28,31,25,25,26,27,38,31,26,27,28,26,26,26,27,33,33,28,26,29,29,81,62
Madonna,Musician,31,34,35,29,46,33,31,30,29,28,29,33,32,30,32,34,37,35,72,100,42,31,38,31,32,31,31,32,31,31,27,27,29,27,29,28,27,31,100,51,36,33,32,33,31,29,39,32,30,29,30,30
Eurythmics,Musician,90,83,85,79,63,74,70,72,100,86,71,81,89,69,86,72,73,69,75,91,82,79,77,67,59,65,63,51,86,73,62,68,75,66,75,90,77,88,87,71,76,81,75,62,75,72,74,78,67,62,56,39
R.E.M.,Musician,45,38,38,73,38,46,69,47,44,54,76,73,76,54,52,63,70,47,92,100,76,100,77,35,32,45,39,51,49,47,57,52,52,37,55,59,36,32,26,45,58,71,95,69,61,67,66,37,41,53,49,24
Depeche Mode,Musician,37,41,32,33,43,46,90,100,93,48,33,31,32,31,35,40,32,29,27,26,30,24,24,25,26,26,22,32,22,23,23,24,22,25,21,30,25,27,28,29,25,25,27,23,29,26,24,25,26,26,26,21
Run-D.M.C.,Musician,26,26,39,26,0,26,54,81,27,40,27,68,57,27,68,0,27,41,41,27,27,66,26,26,52,26,80,27,52,53,25,39,55,76,51,52,80,90,55,77,50,76,63,74,25,25,25,100,25,26,52,0
Anthrax,Musician,66,100,81,69,70,60,69,57,76,59,53,52,45,46,51,65,63,56,64,55,58,53,52,54,48,53,43,53,80,56,53,52,48,49,73,59,48,42,44,50,58,49,61,50,61,69,53,54,57,56,53,52
Beastie Boys,Musician,27,30,29,35,30,33,30,32,30,26,27,24,30,29,30,31,33,35,33,26,64,54,36,45,39,29,31,35,39,100,64,45,43,35,35,36,55,53,45,37,37,34,34,32,30,32,27,28,35,36,35,32
Metallica,Musician,64,58,54,51,52,50,53,52,51,48,48,44,51,49,50,52,52,54,57,58,66,100,66,55,64,55,64,87,81,64,57,52,57,74,75,60,52,58,59,56,68,83,87,55,52,49,63,77,69,70,54,47
Slayer,Musician,34,34,35,34,39,38,43,39,44,42,37,32,33,31,36,40,43,41,40,38,34,31,28,30,29,33,100,77,58,55,52,53,65,63,52,67,55,58,63,51,45,46,47,43,42,40,39,45,37,38,38,38
Public Enemy,Musician,100,92,90,78,87,67,71,90,77,70,68,82,75,82,69,69,73,84,70,66,66,65,57,60,63,81,83,67,74,73,76,70,70,59,60,74,64,63,70,67,95,72,73,67,69,61,99,80,65,71,71,86
Megadeth,Musician,56,55,56,53,50,61,48,57,59,69,58,54,51,52,57,52,62,55,56,63,52,55,55,53,53,52,61,63,49,61,100,57,52,63,72,61,57,58,54,58,55,58,61,58,68,64,56,49,60,68,66,62
Guns N' Roses,Musician,49,47,52,100,73,59,59,63,68,66,54,71,63,62,62,69,52,54,60,54,50,47,44,51,44,47,47,49,48,59,49,47,50,53,54,56,43,47,46,43,41,41,39,44,45,40,42,44,46,43,57,51
Radiohead,Musician,30,33,27,26,26,29,28,21,29,25,29,38,57,100,63,90,76,26,31,26,25,23,21,23,19,20,22,24,23,18,21,17,21,23,22,28,21,21,21,28,23,20,23,19,20,23,21,22,21,26,28,23
NWA,Musician,66,68,57,58,70,66,63,85,100,67,64,72,73,63,77,63,58,60,57,62,73,77,63,80,56,53,55,79,79,59,58,59,56,55,58,52,53,66,60,71,57,62,49,55,56,67,57,59,57,56,63,57
Nirvana,Musician,93,95,97,92,94,97,94,87,86,90,85,86,88,94,90,89,93,88,86,83,87,93,84,89,90,85,100,94,87,88,85,86,90,86,79,87,89,91,91,86,93,84,88,89,95,91,93,92,87,93,93,91
Tupac Shakur,Musician,78,83,91,67,67,79,59,57,57,66,76,54,95,50,48,47,34,38,40,37,40,41,58,55,50,90,65,55,47,48,43,46,44,46,43,52,40,40,44,51,41,50,52,57,54,55,64,100,79,72,68,96
Jay Z,Musician,33,36,30,32,28,23,24,28,31,48,100,46,46,45,36,41,41,37,36,34,41,30,31,31,30,25,23,24,21,21,21,23,21,29,38,23,25,26,30,48,29,27,24,24,31,25,23,21,22,20,23,37
Eminem,Musician,5,7,6,5,5,5,10,11,8,6,5,5,5,5,5,5,5,5,5,5,30,100,64,40,18,12,10,11,8,8,7,6,6,7,8,7,7,7,7,7,6,6,6,6,7,7,6,6,6,5,5,5
Pearl Jam,Musician,24,24,23,23,23,23,22,24,22,25,26,26,26,28,31,29,37,90,100,84,38,59,24,21,21,21,22,22,20,22,20,18,21,21,19,21,21,22,21,20,20,20,19,19,21,19,19,19,19,19,19,16
The Notorious B.I.G.,Musician,58,22,42,58,67,31,41,58,46,28,49,47,33,26,23,18,32,47,32,38,46,48,31,36,50,64,51,55,50,57,67,56,71,65,58,39,57,100,68,44,54,46,54,29,43,61,48,89,80,70,50,30
Outkast,Musician,16,19,15,15,16,18,20,19,16,15,15,16,16,13,16,13,13,15,21,15,15,17,15,15,16,14,13,13,15,13,12,14,13,13,12,13,13,14,13,16,17,17,18,100,20,15,17,15,14,15,13,12
Justin Timberlake,Musician,51,49,53,100,59,54,57,53,35,29,30,30,41,37,34,30,32,32,32,34,32,30,33,48,48,43,36,39,43,53,41,40,39,41,50,40,31,36,51,52,45,44,48,43,37,36,26,34,32,31,37,36
Wu-Tang Clan,Musician,48,71,49,31,69,70,86,51,48,34,37,56,53,37,46,51,51,53,54,54,50,47,61,38,59,56,60,63,72,50,52,74,55,42,69,49,63,56,41,33,62,67,55,34,49,51,100,65,70,39,44,63
Amy Winehouse,Musician,34,43,33,30,35,42,38,31,35,51,37,33,36,49,49,87,78,95,100,72,64,56,83,64,52,41,50,56,45,41,34,34,52,35,33,36,49,37,39,66,49,37,37,39,45,39,45,42,33,38,35,35
Daft Punk,Musician,91,99,84,100,88,88,83,81,87,81,87,87,87,87,82,75,90,84,90,96,84,90,90,91,90,77,81,84,84,90,72,68,85,74,71,80,94,74,79,91,75,78,79,81,73,77,77,92,83,80,79,78
Foo Fighters,Musician,38,66,88,63,38,31,29,31,31,33,37,35,60,66,98,100,87,31,31,28,40,41,41,28,27,29,62,76,27,22,22,21,21,25,21,23,24,25,25,24,24,25,30,51,24,23,20,22,22,21,22,27
Robert De Niro,Actor,6,12,7,5,4,4,7,7,5,100,9,7,7,6,5,6,6,5,8,5,6,5,5,6,4,4,5,10,24,6,4,7,18,10,5,6,7,8,6,6,5,5,6,9,6,5,6,5,5,4,4,5
Jack Nicholson,Actor,58,56,68,51,49,54,45,58,60,54,51,49,62,56,60,55,55,58,56,54,50,62,41,54,50,56,65,61,87,90,83,60,58,58,55,50,59,65,70,72,62,100,80,65,66,68,62,60,55,51,56,52
Marlon Brando,Actor,54,55,51,45,55,63,60,47,54,48,55,42,75,68,47,44,59,66,53,49,52,53,46,44,38,45,37,39,57,41,48,64,68,58,40,58,58,72,74,65,64,51,58,43,46,80,66,50,100,49,64,57
Tom Hanks,Actor,54,44,49,54,42,40,49,48,47,44,47,47,57,61,54,66,57,49,46,43,45,38,42,38,85,66,52,48,59,53,44,61,62,54,47,50,67,100,70,47,52,46,50,47,48,49,43,44,39,50,49,50
Humphrey Bogart,Actor,36,49,45,38,49,34,56,44,47,56,37,51,43,53,53,68,41,40,48,42,100,49,44,42,42,41,33,37,27,38,39,24,35,45,26,39,36,52,81,38,43,50,55,33,46,51,42,70,50,49,32,51
Leonardo DiCaprio,Actor,84,86,71,72,81,94,77,76,92,77,84,79,76,77,84,98,93,100,81,67,68,76,64,69,70,68,63,78,74,76,77,96,92,77,80,71,80,87,97,95,83,83,94,94,80,79,93,74,79,88,84,70
Johnny Depp,Actor,21,20,20,21,25,25,22,31,100,51,61,47,33,31,31,36,29,33,30,23,22,24,22,23,26,26,29,26,36,72,30,33,34,26,25,25,27,36,27,26,21,21,23,20,24,23,24,31,62,41,26,28
Al Pacino,Actor,100,80,86,58,49,54,49,53,54,62,49,48,46,61,53,46,61,63,47,43,53,58,57,47,54,39,44,39,39,43,39,40,64,44,41,43,43,70,48,58,41,37,61,37,40,46,43,35,44,31,37,48
Denzel Washington,Actor,30,36,34,35,35,31,33,39,36,32,30,42,50,57,100,86,61,61,60,53,46,38,33,33,35,28,32,26,27,29,34,32,36,33,31,38,35,60,46,44,37,39,36,32,33,38,38,31,29,27,28,31
Daniel Day-Lewis,Actor,69,34,89,62,28,63,43,43,36,28,50,36,37,29,51,36,58,29,87,29,36,42,76,41,21,82,50,100,49,42,99,41,37,27,48,27,28,56,95,27,33,40,53,19,60,13,26,34,20,55,34,24
Laurence Olivier,Actor,66,51,53,62,47,32,54,52,32,41,67,52,59,60,49,57,59,65,67,53,58,72,44,48,60,100,57,59,67,61,67,87,75,66,51,67,58,43,80,51,74,67,57,78,88,82,62,54,46,94,64,83
Brad Pitt,Actor,67,51,48,41,47,63,79,58,69,69,70,62,52,54,58,100,70,82,67,54,53,65,58,49,39,43,52,44,39,42,43,41,50,44,47,53,53,56,52,49,66,78,51,42,67,45,44,37,38,44,40,38
Cary Grant,Actor,37,29,33,28,31,28,32,35,27,24,32,64,40,39,66,55,50,50,38,30,27,36,28,27,28,35,34,27,28,26,31,30,33,36,49,33,36,100,64,40,44,55,51,35,38,35,32,34,41,33,40,51
Dustin Hoffman,Actor,61,71,59,54,55,61,62,58,71,58,70,53,70,62,49,56,67,72,67,55,52,53,57,54,54,42,59,54,51,51,57,65,68,67,78,58,52,83,78,70,65,75,67,73,77,69,73,100,96,60,55,52
Clark Gable,Actor,10,8,8,8,8,8,7,6,9,6,5,8,7,6,7,7,7,8,20,18,6,8,8,8,6,4,7,5,5,6,6,6,10,8,5,7,7,10,10,6,6,7,6,6,11,100,59,25,14,11,10,7
Sean Penn,Actor,38,36,29,27,27,32,25,27,26,26,27,23,30,29,30,32,28,25,47,30,31,33,67,100,52,39,33,28,25,29,31,31,34,27,31,29,28,41,34,31,31,34,28,41,35,30,28,25,26,36,22,23
Christian Bale,Actor,6,6,7,7,7,6,7,6,7,6,6,6,7,6,7,7,7,9,9,9,8,6,6,5,5,18,12,9,7,6,7,6,11,7,14,16,14,22,17,100,15,14,14,9,8,9,18,7,6,6,5,6
Gregory Peck,Actor,59,66,89,55,57,56,92,72,48,71,69,61,70,59,59,58,70,55,88,75,100,88,46,60,73,48,50,51,44,62,60,61,83,93,56,56,66,78,91,61,69,73,74,59,76,72,84,80,78,61,63,51
Sidney Poitier,Actor,34,19,24,25,21,22,25,33,24,22,29,19,22,17,27,31,28,31,29,28,22,29,30,19,26,20,25,20,16,23,25,24,23,20,16,40,39,29,28,22,21,39,37,40,68,100,67,35,29,28,74,29
Harrison Ford,Actor,39,37,35,40,43,42,49,77,43,36,33,43,43,47,37,43,35,31,29,31,29,42,35,47,31,35,26,29,27,24,25,29,33,26,29,26,29,39,61,90,41,51,49,100,42,38,35,36,38,32,31,27
Spencer Tracy,Actor,30,21,18,13,24,27,49,36,26,33,47,34,31,24,24,69,47,91,31,100,62,38,34,26,34,23,21,31,47,26,29,21,31,32,44,23,34,40,62,33,39,41,28,27,40,70,51,35,22,22,49,98
George Clooney,Actor,22,17,15,16,20,39,43,18,27,23,30,20,17,100,27,23,21,18,15,21,20,21,14,14,15,13,14,16,16,19,17,15,19,19,18,17,23,26,18,15,14,20,18,15,20,16,15,13,15,15,18,20
Charlton Heston,Actor,68,44,42,42,43,31,27,36,34,33,30,24,43,26,31,26,31,33,35,25,29,45,28,28,34,38,24,30,30,32,35,29,30,31,33,31,100,78,81,42,38,32,31,34,43,57,41,34,33,29,26,35
Morgan Freeman,Actor,7,8,10,7,6,6,100,41,10,7,6,6,5,6,5,6,5,6,6,6,5,5,5,5,5,5,5,6,5,5,4,5,5,5,5,5,5,7,7,6,10,6,5,6,7,9,7,7,6,6,6,5
Tom Cruise,Actor,23,27,29,26,25,24,26,30,33,33,38,33,39,37,41,82,100,63,46,37,32,32,29,29,25,24,28,29,26,24,24,30,35,25,33,33,31,41,41,30,28,27,27,24,26,26,23,22,23,23,25,29
Katharine Hepburn,Actor,26,24,25,23,36,39,36,31,22,29,28,26,43,31,28,40,39,100,40,39,32,46,32,28,36,25,29,26,53,28,27,27,41,28,35,29,36,43,62,34,35,30,27,33,40,34,48,40,24,26,26,40
Meryl Streep,Actor,27,24,29,24,27,29,39,33,28,29,32,39,46,47,99,100,70,81,58,48,42,37,36,30,28,22,30,29,32,33,31,31,36,31,30,26,28,41,36,31,29,31,29,24,25,24,36,21,20,22,23,30
Ingrid Bergman,Actor,60,70,64,60,55,35,55,74,65,43,45,29,44,46,55,62,60,60,47,34,69,43,25,27,39,32,32,34,39,57,68,50,38,33,40,29,35,36,100,31,41,47,37,31,78,59,83,53,33,38,44,46
Marilyn Monroe,Actor,70,61,59,60,66,59,57,80,66,64,55,63,55,54,52,56,61,65,100,77,56,59,54,58,59,57,53,63,61,63,54,56,59,59,57,57,62,80,60,60,61,58,57,56,59,55,57,62,60,58,56,59
Kate Winslet,Actor,47,54,52,46,46,45,47,56,75,73,100,74,70,63,70,76,60,56,65,51,52,67,64,59,48,63,70,98,58,58,47,52,83,81,61,59,68,91,61,44,53,51,44,56,80,50,51,43,43,47,38,42
Elizabeth Taylor,Actor,90,70,83,76,100,77,72,67,73,74,78,78,70,72,70,77,74,86,69,66,62,70,73,72,81,74,70,67,68,79,72,64,87,77,65,74,81,88,77,88,78,70,65,64,76,86,92,78,76,70,66,62
Cate Blanchett,Actor,22,21,24,33,36,40,45,30,93,100,65,44,45,32,25,23,26,24,23,25,28,29,33,50,34,26,22,24,21,20,16,17,26,20,20,23,26,47,42,26,39,28,26,22,26,25,28,23,20,20,20,22
Audrey Hepburn,Actor,50,51,47,80,65,61,58,55,45,62,48,59,46,46,45,47,45,56,54,55,44,54,54,47,45,46,48,45,60,70,44,46,51,58,48,45,60,56,59,50,47,50,53,53,57,62,100,69,53,48,49,51
Helen Mirren,Actor,39,35,38,40,39,44,38,34,32,30,28,29,35,32,32,48,33,29,32,40,34,28,29,30,31,26,40,29,29,34,40,30,40,29,30,28,30,31,40,37,40,32,34,36,37,38,100,35,35,29,26,39
Bette Davis,Actor,66,44,47,44,52,55,50,49,72,88,77,56,68,58,49,58,72,52,88,61,90,68,49,47,63,62,57,49,49,75,39,52,53,66,44,64,63,72,79,100,61,50,62,72,90,52,62,47,54,51,60,65
Viola Davis,Actor,18,20,20,22,22,18,24,26,38,34,24,22,17,20,21,19,17,21,23,17,19,28,37,31,27,25,24,29,44,39,40,100,56,38,37,30,25,36,28,30,26,28,41,69,43,41,37,30,29,23,24,32
Nicole Kidman,Actor,36,60,38,32,29,28,27,31,29,30,34,33,33,29,29,31,47,39,29,29,27,27,27,28,27,25,29,52,41,43,48,69,41,33,32,39,43,76,93,100,63,47,40,31,33,31,32,26,29,26,39,46
Sandra Bullock,Actor,6,5,7,9,8,14,9,9,18,13,9,7,7,8,7,8,8,7,7,7,9,8,9,11,10,8,8,8,8,8,8,8,10,8,9,11,32,100,83,28,19,14,12,10,10,8,8,8,8,7,10,16
Natalie Portman,Actor,40,53,43,61,41,38,38,46,43,80,53,42,39,31,36,38,37,28,31,27,24,29,29,23,24,27,26,29,31,27,27,31,40,33,100,68,60,49,40,40,40,37,33,31,32,34,33,30,32,39,32,31
Jodie Foster,Actor,24,32,33,23,27,40,51,54,100,47,39,32,30,30,37,36,33,29,28,30,25,33,27,28,31,27,40,31,30,30,30,39,33,25,21,28,29,36,36,28,26,26,40,35,46,33,31,29,33,31,32,39
Judi Dench,Actor,55,53,51,53,48,60,48,51,51,36,38,45,60,39,51,67,100,52,68,52,73,58,43,51,83,58,55,61,49,55,54,47,61,62,50,43,48,60,62,52,44,53,51,72,82,78,59,53,60,80,62,59
Amy Adams,Actor,22,22,23,20,18,20,20,24,26,30,32,41,56,100,62,58,61,51,46,55,58,39,29,26,22,22,24,18,23,20,18,21,28,25,27,45,35,43,46,67,32,32,32,31,29,27,60,24,24,21,18,20
Julia Roberts,Actor,28,26,29,25,26,26,24,31,33,31,31,33,29,27,28,34,39,32,31,27,30,28,34,28,30,26,36,31,45,92,100,68,64,68,79,61,70,94,76,80,43,37,33,36,43,30,83,34,38,38,31,27
Diane Keaton,Actor,14,20,31,27,33,100,71,57,44,36,23,20,21,22,20,22,19,25,23,23,46,47,33,33,21,18,20,19,18,15,19,16,26,21,23,23,23,35,26,24,20,17,21,21,23,58,24,20,18,22,25,32
Grace Kelly,Actor,31,33,35,32,55,100,75,43,32,22,32,37,33,23,26,23,23,22,22,27,20,23,22,26,19,20,33,21,23,21,20,24,24,22,20,21,22,28,28,22,22,26,21,18,23,32,30,21,23,31,28,26
Shirley MacLaine,Actor,41,34,62,46,53,51,53,48,52,50,47,48,62,45,50,45,42,44,40,61,50,56,64,52,44,41,32,31,30,62,39,32,62,53,44,38,51,60,55,46,46,37,53,96,100,75,52,47,38,43,46,45
Jennifer Lawrence,Actor,40,44,40,39,40,44,46,57,53,54,47,40,41,34,38,39,40,61,44,32,58,50,51,37,35,31,32,31,27,27,33,31,51,47,32,47,50,54,63,41,35,35,42,100,42,37,53,34,42,33,46,45
Charlize Theron,Actor,40,43,49,71,49,29,28,27,25,27,26,19,22,43,28,23,25,30,25,24,20,20,19,21,17,15,19,18,17,33,26,19,21,16,29,33,29,30,23,34,24,81,34,26,33,25,100,33,27,22,20,19
Judy Garland,Actor,25,23,23,21,62,42,24,24,43,56,32,22,25,31,24,24,25,27,30,53,26,73,45,27,29,43,63,44,33,33,29,27,83,33,34,31,55,100,47,62,28,25,36,36,32,32,56,29,29,26,25,22
Vivien Leigh,Actor,43,35,40,38,46,33,33,42,83,39,57,35,51,80,100,75,42,37,39,29,40,44,45,68,39,51,28,36,44,30,51,48,73,45,35,34,59,76,91,57,54,40,47,34,55,58,50,40,29,39,32,26
John Wayne,Actor,52,44,45,48,47,51,59,56,51,45,47,62,57,50,52,59,52,49,44,46,47,46,44,46,45,45,42,46,54,49,45,49,56,57,59,62,63,74,86,56,52,60,81,66,58,100,77,77,58,74,52,62
Paul Newman,Actor,52,62,55,44,50,47,50,48,54,50,47,48,62,59,49,52,53,60,55,51,57,50,54,78,59,46,46,56,46,42,54,49,50,45,45,55,54,62,60,52,55,68,100,60,55,63,70,57,48,47,58,62
Anthony Hopkins,Actor,38,77,100,49,47,41,80,57,59,49,53,45,55,41,51,41,43,38,38,37,34,34,29,28,24,28,31,26,25,34,26,43,41,32,35,28,31,45,43,34,31,35,33,31,42,32,28,32,30,28,28,34
Matt Damon,Actor,13,13,13,12,13,13,19,15,18,17,15,13,12,12,12,12,13,13,13,18,14,13,10,10,9,100,24,12,10,18,14,13,13,12,11,13,42,29,19,14,12,14,11,10,11,11,10,10,10,11,10,9
Russell Crowe,Actor,100,75,49,42,65,49,36,39,46,44,37,41,47,56,45,37,39,42,41,40,34,50,43,43,39,34,35,30,33,40,50,55,66,45,40,34,36,52,51,44,39,43,54,41,43,50,40,41,41,39,36,39
Robert Duvall,Actor,83,50,56,63,53,63,68,42,56,60,66,56,68,60,89,70,74,56,75,56,58,72,55,40,55,56,70,43,36,40,39,58,88,62,58,54,60,100,87,73,55,56,78,76,91,80,72,66,72,58,60,68
James Dean,Actor,60,59,65,79,56,60,68,54,61,60,64,66,100,65,65,66,69,53,66,71,58,52,50,54,67,64,45,55,58,52,68,49,68,57,54,66,62,59,50,57,67,64,51,63,58,69,61,73,62,53,62,46
