Search,Type,X2018.04.08,X2018.04.15,X2018.04.22,X2018.04.29,X2018.05.06,X2018.05.13,X2018.05.20,X2018.05.27,X2018.06.03,X2018.06.10,X2018.06.17,X2018.06.24,X2018.07.01,X2018.07.08,X2018.07.15,X2018.07.22,X2018.07.29,X2018.08.05,X2018.08.12,X2018.08.19,X2018.08.26,X2018.09.02,X2018.09.09,X2018.09.16,X2018.09.23,X2018.09.30,X2018.10.07,X2018.10.14,X2018.10.21,X2018.10.28,X2018.11.04,X2018.11.11,X2018.11.18,X2018.11.25,X2018.12.02,X2018.12.09,X2018.12.16,X2018.12.23,X2018.12.30,X2019.01.06,X2019.01.13,X2019.01.20,X2019.01.27,X2019.02.03,X2019.02.10,X2019.02.17,X2019.02.24,X2019.03.03,X2019.03.10,X2019.03.17,X2019.03.24,X2019.03.31
Joan Fontaine,Actor,48,34,12,15,16,17,14,17,13,22,13,17,68,32,40,43,34,22,19,19,18,20,16,36,67,23,22,17,100,20,14,16,15,22,8,22,14,52,24,22,17,25,40,29,9,27,24,29,19,24,41,41
Greer Garson,Actor,68,59,12,6,6,15,13,17,4,17,13,11,11,32,11,24,24,6,50,17,92,44,66,29,27,25,100,15,21,11,20,2,48,18,25,27,21,24,9,10,22,8,2,12,92,24,6,10,12,12,10,14
Faye Dunaway,Actor,34,18,64,33,16,15,21,18,23,19,17,11,19,19,19,34,15,23,16,22,19,16,36,19,21,11,14,14,15,23,14,17,17,20,34,23,25,19,100,24,21,22,19,26,16,19,36,16,20,25,22,29
Susan Hayward,Actor,38,26,18,100,28,29,22,18,13,14,14,25,31,34,18,26,39,29,14,15,13,19,26,26,13,28,10,14,16,11,22,15,31,15,9,64,15,24,40,31,25,41,23,52,23,38,16,27,41,15,29,10
Ellen Burstyn,Actor,16,58,38,25,38,25,29,100,48,42,42,29,40,34,32,54,63,33,26,41,33,19,26,57,16,31,9,40,41,25,21,33,48,45,39,38,21,18,35,21,38,26,17,15,30,22,16,26,29,60,21,19
Jane Wyman,Actor,24,22,45,13,22,25,39,51,17,100,15,17,25,31,13,26,21,11,17,17,30,14,21,10,27,26,30,18,30,22,16,14,16,18,18,14,28,36,36,31,22,71,16,18,38,48,19,29,32,28,19,16
Sophia Loren,Actor,37,41,35,41,32,33,38,39,34,35,32,38,42,47,33,41,39,44,35,55,48,40,31,64,37,33,34,27,31,30,34,39,43,41,100,39,38,56,51,40,67,51,46,43,41,33,38,39,32,51,39,53
Joan Crawford,Actor,37,53,38,30,37,72,44,30,49,53,27,30,37,23,45,49,48,54,56,45,100,53,36,40,47,44,33,45,35,44,30,38,38,41,37,39,50,45,56,43,38,65,52,38,35,56,72,48,40,43,36,29
Kathy Bates,Actor,21,20,18,17,36,26,20,21,21,24,30,31,29,23,26,23,24,23,23,20,19,26,43,50,58,43,40,35,35,35,35,26,33,20,26,39,32,33,100,44,33,30,45,30,29,23,23,27,29,22,29,47
Julie Andrews,Actor,12,9,9,10,9,11,10,10,15,9,8,10,15,18,13,11,13,17,16,11,10,10,11,23,12,17,9,9,9,11,9,12,33,24,19,48,93,100,64,34,24,25,19,15,12,16,20,17,18,24,25,24
Marion Cotillard,Actor,78,73,100,77,93,82,70,70,99,55,59,84,59,53,70,68,63,72,89,57,61,54,70,50,73,82,59,61,61,42,54,65,47,54,50,56,49,74,60,58,61,51,48,56,65,41,58,52,52,35,55,61
Deborah Kerr,Actor,16,23,23,31,31,40,23,64,17,32,35,16,45,31,21,26,43,36,49,100,31,32,40,25,37,40,53,15,32,34,51,23,39,26,38,30,15,59,27,30,95,45,32,27,14,41,38,19,39,47,38,35
Sissy Spacek,Actor,33,27,26,24,24,17,27,28,17,26,26,24,29,25,26,74,69,70,51,100,73,54,51,78,89,85,80,90,65,65,88,59,67,47,35,38,43,46,61,55,63,68,55,44,45,41,39,35,40,43,33,36
Susan Sarandon,Actor,36,29,37,37,31,35,34,31,33,35,31,90,57,36,41,37,35,30,26,28,34,26,100,46,28,52,40,34,45,49,38,37,42,45,52,40,42,53,53,43,48,35,33,39,37,41,41,37,32,26,31,31
Glenn Close,Actor,5,4,4,4,4,3,3,3,4,5,5,5,6,5,5,12,6,13,11,12,10,10,10,8,7,6,7,4,4,4,4,3,4,9,6,4,4,6,7,100,16,18,23,25,18,26,100,11,7,8,6,5
Jane Fonda,Actor,20,19,27,27,53,55,48,53,34,26,29,27,30,23,22,24,23,20,21,20,35,36,27,67,90,49,25,25,29,24,18,16,26,14,15,14,21,23,28,25,73,100,60,39,34,28,22,23,19,22,18,25
Luise Rainer,Actor,18,18,12,18,12,37,39,45,57,12,57,38,13,13,13,13,19,25,13,13,25,25,37,24,12,12,25,31,25,100,29,37,26,24,85,24,38,14,19,49,36,24,24,46,41,18,23,36,48,18,31,33
Reese Witherspoon,Actor,51,47,47,47,44,62,46,55,71,71,58,52,63,74,65,64,76,71,61,64,59,66,70,100,70,55,55,55,57,55,58,59,69,61,64,63,78,84,70,74,58,53,55,51,68,55,56,71,77,83,74,62
Doris Day,Actor,33,33,23,22,23,26,19,18,19,28,21,21,21,20,20,30,34,30,100,30,27,35,24,35,31,31,21,23,22,29,24,29,36,33,43,29,36,34,36,20,22,22,25,28,30,29,23,25,30,34,37,78
Natalie Wood,Actor,48,53,27,17,21,22,20,20,20,22,26,26,37,27,68,91,51,33,31,32,33,32,100,52,36,31,47,27,27,22,22,19,29,29,25,37,39,49,33,28,32,28,23,20,30,36,35,25,25,30,22,18
